fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211013 090832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	206	TRUE	0.0289497707287288	0.797429436470386	3677	308	7	25	0.0343100182446432	103	7985874.9562125
20211013 091554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	217	TRUE	0.0254658591108779	0.812517480124409	3019	740	15	2	0.0374181022418861	104	8226874.953
20211013 092200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	226	TRUE	0.0270774646172729	0.862122173234284	2732	144	18	37	0.0343397606715744	105	8145874.9559125
20211013 092800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	189	TRUE	0.0344852441144663	0.484843240023831	3405	741	10	95	0.0332711576239236	106	7976874.959125
20211013 093713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	352	TRUE	0.0293140027915255	0.807142565331646	3316	707	13	6	0.0337342897668584	107	8079374.9553125
20211013 094330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	195	TRUE	0.0303588125375305	0.67514001946501	1991	584	14	1	0.0352639004817612	108	8073124.9548
20211013 094848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	167	TRUE	0.0311134068390103	0.794314293491233	2358	706	14	2	0.0333370158704182	109	8332624.9557875
20211013 095216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	87	TRUE	0.0291494623145418	0.815242235148822	2174	794	15	0	0.0343333872912641	110	8061499.95655
20211013 095819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	227	TRUE	0.0299311442802877	0.758805713954893	2455	622	17	66	0.031257170181764	111	8019374.9585375
20211013 100823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	407	TRUE	0.0265730813012131	0.827493656354932	2917	493	12	63	0.0340911989337966	112	8149624.9549625
20211013 101412	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	214	TRUE	0.0273969253219318	0.812709072277376	2727	463	18	45	0.0308960120987263	113	8117124.9583
20211013 101918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	162	TRUE	0.0301723258057644	0.796923706228986	2121	359	15	6	0.031431375852745	114	8201374.9567
20211013 102458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	222	TRUE	0.0257107350917718	0.823139496127236	4534	359	7	89	0.027858035256642	115	7888124.9596625
20211013 102921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	129	TRUE	0.0375786733028649	0.833646826118243	1407	405	16	12	0.0323278976842779	116	8183249.956725
20211013 103420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	164	TRUE	0.0321765002515015	0.82585680456506	2312	391	15	23	0.0308917631826267	117	8172124.957575
20211013 104125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	265	TRUE	0.029956429888392	0.785560371787978	3963	898	15	5	0.0347965194320744	118	7995124.953775
20211013 104622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	140	TRUE	0.0376318572535963	0.890006824848507	1067	561	16	20	0.0313039082898769	119	8145624.9576625
20211013 105251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	342	TRUE	0.0305200878456902	0.778966211457414	1762	195	42	8	0.0304753691512039	120	7780874.9584625
20211013 110051	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	316	TRUE	0.0259526612238545	0.781521768015684	3283	662	8	109	0.0324808587586149	121	8111374.95645
20211013 110824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	269	TRUE	0.0288380668485197	0.610653121252574	3364	848	7	163	0.0329015017010386	122	8171999.9575125
20211013 111358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	179	TRUE	0.0295358917320561	0.629229180142601	2509	173	15	7	0.0334326165398076	123	8247624.95425
20211013 112254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	293	TRUE	0.0299992748522426	0.561562680463861	2636	785	16	4	0.0340104694786164	124	8165124.9552875
20211013 112933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	250	TRUE	0.0268492593870217	0.627284864614521	3809	784	11	76	0.0340954478452224	125	8041874.9568875
20211013 113434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	154	TRUE	0.0294664979294212	0.786193605718865	2549	245	15	0	0.0335452128823056	126	8290874.9559125
20211013 114248	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	309	TRUE	0.0273289854483126	0.843900903546395	2849	1004	7	77	0.035314887504699	127	8094374.95475
